model,held_out_venue,play_recall,false_play_rate,false_play_rate_distinct_scenes,empty_accuracy,joint_recall_and_empty_accuracy,n_held_out_empty,n_distinct_scenes
convnextv2,lo_venue_out__clipvenue_a_blue_barrier,0.9345,,,,,,
convnextv2,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,,,,
convnextv2,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,,,,
convnextv2,lo_venue_out__clipvenue_f_outdoor_bldg,0.7500,,,,,,
convnextv2,lo_venue_out__clipvenue_g_netting,0.9667,,,,,,
convnextv2,lo_venue_out__clipvenue_h_teal_pitch,0.7222,,,,,,
convnextv2,lo_venue_out__clipvenue_i_outdoor_trees,1.0000,,,,,,
convnextv2,MEAN_ACROSS_FOLDS,0.9105,0.9918,1.0000,0.0082,0.4594,243,3
dinov2,lo_venue_out__clipvenue_a_blue_barrier,0.9524,,,,,,
dinov2,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,,,,
dinov2,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,,,,
dinov2,lo_venue_out__clipvenue_f_outdoor_bldg,1.0000,,,,,,
dinov2,lo_venue_out__clipvenue_g_netting,1.0000,,,,,,
dinov2,lo_venue_out__clipvenue_h_teal_pitch,0.6667,,,,,,
dinov2,lo_venue_out__clipvenue_i_outdoor_trees,0.8889,,,,,,
dinov2,MEAN_ACROSS_FOLDS,0.9297,0.3086,1.0000,0.0000,0.4649,243,3
vit,lo_venue_out__clipvenue_a_blue_barrier,1.0000,,,,,,
vit,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,,,,
vit,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,,,,
vit,lo_venue_out__clipvenue_f_outdoor_bldg,0.5833,,,,,,
vit,lo_venue_out__clipvenue_g_netting,1.0000,,,,,,
vit,lo_venue_out__clipvenue_h_teal_pitch,0.5000,,,,,,
vit,lo_venue_out__clipvenue_i_outdoor_trees,1.0000,,,,,,
vit,MEAN_ACROSS_FOLDS,0.8690,0.8354,1.0000,0.1646,0.5168,243,3
ens_convnextv2_dinov2,lo_venue_out__clipvenue_a_blue_barrier,0.9643,,,,,,
ens_convnextv2_dinov2,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,,,,
ens_convnextv2_dinov2,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,,,,
ens_convnextv2_dinov2,lo_venue_out__clipvenue_f_outdoor_bldg,1.0000,,,,,,
ens_convnextv2_dinov2,lo_venue_out__clipvenue_g_netting,1.0000,,,,,,
ens_convnextv2_dinov2,lo_venue_out__clipvenue_h_teal_pitch,0.6667,,,,,,
ens_convnextv2_dinov2,lo_venue_out__clipvenue_i_outdoor_trees,1.0000,,,,,,
ens_convnextv2_dinov2,MEAN_ACROSS_FOLDS,0.9473,1.0000,1.0000,0.0000,0.4736,243,3
torch_single_dinov2,lo_venue_out__clipvenue_a_blue_barrier,0.9464,,,,,,
torch_single_dinov2,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,,,,
torch_single_dinov2,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,,,,
torch_single_dinov2,lo_venue_out__clipvenue_f_outdoor_bldg,1.0000,,,,,,
torch_single_dinov2,lo_venue_out__clipvenue_g_netting,1.0000,,,,,,
torch_single_dinov2,lo_venue_out__clipvenue_h_teal_pitch,0.6667,,,,,,
torch_single_dinov2,lo_venue_out__clipvenue_i_outdoor_trees,0.9444,,,,,,
torch_single_dinov2,MEAN_ACROSS_FOLDS,0.9368,0.2716,0.6667,0.0000,0.4684,243,3
fusion_uniform,lo_venue_out__clipvenue_a_blue_barrier,0.9881,,,,,,
fusion_uniform,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,,,,
fusion_uniform,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,,,,
fusion_uniform,lo_venue_out__clipvenue_f_outdoor_bldg,1.0000,,,,,,
fusion_uniform,lo_venue_out__clipvenue_g_netting,1.0000,,,,,,
fusion_uniform,lo_venue_out__clipvenue_h_teal_pitch,0.6667,,,,,,
fusion_uniform,lo_venue_out__clipvenue_i_outdoor_trees,1.0000,,,,,,
