backbone,arm,held_out_venue,play_recall,false_play_rate,n_held_out_empty
convnextv2,raw+geom,lo_venue_out__clipvenue_a_blue_barrier,0.9345,,
convnextv2,raw+geom,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,
convnextv2,raw+geom,lo_venue_out__clipvenue_e_pink_boards,1.0000,,
convnextv2,raw+geom,lo_venue_out__clipvenue_f_outdoor_bldg,0.7500,,
convnextv2,raw+geom,lo_venue_out__clipvenue_g_netting,0.9667,,
convnextv2,raw+geom,lo_venue_out__clipvenue_h_teal_pitch,0.7222,,
convnextv2,raw+geom,lo_venue_out__clipvenue_i_outdoor_trees,1.0000,,
convnextv2,raw+geom,MEAN_ACROSS_FOLDS,0.9105,0.9918,243
convnextv2,preproc+geom,lo_venue_out__clipvenue_a_blue_barrier,1.0000,,
convnextv2,preproc+geom,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,
convnextv2,preproc+geom,lo_venue_out__clipvenue_e_pink_boards,1.0000,,
convnextv2,preproc+geom,lo_venue_out__clipvenue_f_outdoor_bldg,1.0000,,
convnextv2,preproc+geom,lo_venue_out__clipvenue_g_netting,1.0000,,
convnextv2,preproc+geom,lo_venue_out__clipvenue_h_teal_pitch,1.0000,,
convnextv2,preproc+geom,lo_venue_out__clipvenue_i_outdoor_trees,0.8889,,
convnextv2,preproc+geom,MEAN_ACROSS_FOLDS,0.9841,0.0206,243
convnextv2,preproc+nogeom,lo_venue_out__clipvenue_a_blue_barrier,0.9643,,
convnextv2,preproc+nogeom,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,
convnextv2,preproc+nogeom,lo_venue_out__clipvenue_e_pink_boards,1.0000,,
convnextv2,preproc+nogeom,lo_venue_out__clipvenue_f_outdoor_bldg,1.0000,,
convnextv2,preproc+nogeom,lo_venue_out__clipvenue_g_netting,0.8333,,
convnextv2,preproc+nogeom,lo_venue_out__clipvenue_h_teal_pitch,1.0000,,
convnextv2,preproc+nogeom,lo_venue_out__clipvenue_i_outdoor_trees,1.0000,,
convnextv2,preproc+nogeom,MEAN_ACROSS_FOLDS,0.9711,0.4815,243
dinov2,raw+geom,lo_venue_out__clipvenue_a_blue_barrier,0.9524,,
dinov2,raw+geom,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,
