model,held_out_venue,n_play,play_recall,false_play_rate,n_held_out_empty
clock_rule,lo_venue_out__clipvenue_a_blue_barrier,168,1.0000,,
clock_rule,lo_venue_out__clipvenue_d_indoor_dome,18,0.0000,,
clock_rule,lo_venue_out__clipvenue_e_pink_boards,18,0.0000,,
clock_rule,lo_venue_out__clipvenue_f_outdoor_bldg,12,0.0000,,
clock_rule,lo_venue_out__clipvenue_g_netting,30,0.2000,,
clock_rule,lo_venue_out__clipvenue_h_teal_pitch,18,0.0000,,
clock_rule,lo_venue_out__clipvenue_i_outdoor_trees,18,0.3333,,
clock_rule,MEAN_ACROSS_FOLDS,,0.2190,0.0206,243
convnextv2,lo_venue_out__clipvenue_a_blue_barrier,168,0.9345,,
convnextv2,lo_venue_out__clipvenue_d_indoor_dome,18,1.0000,,
convnextv2,lo_venue_out__clipvenue_e_pink_boards,18,1.0000,,
convnextv2,lo_venue_out__clipvenue_f_outdoor_bldg,12,0.7500,,
convnextv2,lo_venue_out__clipvenue_g_netting,30,0.9667,,
convnextv2,lo_venue_out__clipvenue_h_teal_pitch,18,0.7222,,
convnextv2,lo_venue_out__clipvenue_i_outdoor_trees,18,1.0000,,
convnextv2,MEAN_ACROSS_FOLDS,,0.9105,0.9918,243
dinov2,lo_venue_out__clipvenue_a_blue_barrier,168,0.9524,,
dinov2,lo_venue_out__clipvenue_d_indoor_dome,18,1.0000,,
dinov2,lo_venue_out__clipvenue_e_pink_boards,18,1.0000,,
dinov2,lo_venue_out__clipvenue_f_outdoor_bldg,12,1.0000,,
dinov2,lo_venue_out__clipvenue_g_netting,30,1.0000,,
dinov2,lo_venue_out__clipvenue_h_teal_pitch,18,0.6667,,
dinov2,lo_venue_out__clipvenue_i_outdoor_trees,18,0.8889,,
dinov2,MEAN_ACROSS_FOLDS,,0.9297,0.3086,243
vit,lo_venue_out__clipvenue_a_blue_barrier,168,1.0000,,
vit,lo_venue_out__clipvenue_d_indoor_dome,18,1.0000,,
vit,lo_venue_out__clipvenue_e_pink_boards,18,1.0000,,
vit,lo_venue_out__clipvenue_f_outdoor_bldg,12,0.5833,,
vit,lo_venue_out__clipvenue_g_netting,30,1.0000,,
vit,lo_venue_out__clipvenue_h_teal_pitch,18,0.5000,,
vit,lo_venue_out__clipvenue_i_outdoor_trees,18,1.0000,,
vit,MEAN_ACROSS_FOLDS,,0.8690,0.8354,243
